Name,Sportart,Team/Schule,Liga/Verband,Stadt,US-Bundesstaat,Status,Schweizer Bezug,Quelle,Letzte Pruefung,Notizen
Nico Hischier,Eishockey,New Jersey Devils,NHL,Newark,New Jersey,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Nico_Hischier,2026-07-05,"Beispiel aus Auftrag; Teamstandort Prudential Center, Newark NJ"
Timo Meier,Eishockey,New Jersey Devils,NHL,Newark,New Jersey,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Timo_Meier,2026-07-05,"Teamstandort Prudential Center, Newark NJ"
Jonas Siegenthaler,Eishockey,New Jersey Devils,NHL,Newark,New Jersey,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Jonas_Siegenthaler,2026-07-05,"Teamstandort Prudential Center, Newark NJ"
Kevin Fiala,Eishockey,Los Angeles Kings,NHL,Los Angeles,California,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Kevin_Fiala,2026-07-05,"Teamstandort Crypto.com Arena, Los Angeles CA"
Roman Josi,Eishockey,Nashville Predators,NHL,Nashville,Tennessee,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Roman_Josi,2026-07-05,"Teamstandort Bridgestone Arena, Nashville TN"
Janis Moser,Eishockey,Tampa Bay Lightning,NHL,Tampa,Florida,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/J._J._Moser,2026-07-05,"Auch als J. J. Moser gefuehrt; Teamstandort Amalie Arena, Tampa FL"
Pius Suter,Eishockey,St. Louis Blues,NHL,St. Louis,Missouri,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Pius_Suter,2026-07-05,"Seit 2025 bei St. Louis Blues gefuehrt"
Akira Schmid,Eishockey,Vegas Golden Knights,NHL,Las Vegas,Nevada,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Akira_Schmid,2026-07-05,"Teamstandort T-Mobile Arena, Las Vegas NV"
Philipp Kurashev,Eishockey,San Jose Sharks,NHL,San Jose,California,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Philipp_Kurashev,2026-07-05,"Schweizer-russischer Spieler; Schweiz-Bezug ueber Nationalteam"
Lian Bichsel,Eishockey,Dallas Stars,NHL,Dallas,Texas,aktiv,Schweizer Spieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Lian_Bichsel,2026-07-05,"Teamstandort American Airlines Center, Dallas TX"
Alina Muller,Eishockey,Boston Fleet,PWHL,Boston,Massachusetts,aktiv,Schweizer Nationalspielerin; geboren in der Schweiz,https://en.wikipedia.org/wiki/Alina_M%C3%BCller,2026-07-05,"PWHL; Name oft als Alina Mueller/Mueller geschrieben"
Nicole Vallario,Eishockey,New York Sirens,PWHL,Newark,New Jersey,aktiv,Schweizer Nationalspielerin; geboren in der Schweiz,https://en.wikipedia.org/wiki/Nicole_Vallario,2026-07-05,"Als Reserve/roster player bei New York Sirens gefuehrt; Heimspielort Newark NJ"
Laura Zimmermann,Eishockey,St. Cloud State Huskies,NCAA Division I,St. Cloud,Minnesota,aktiv,Schweizer Nationalspielerin; geboren in der Schweiz,https://en.wikipedia.org/wiki/Laura_Zimmermann,2026-07-05,"College-Hockey; WCHA"
Naemi Herzig,Eishockey,Holy Cross Crusaders,NCAA Division I,Worcester,Massachusetts,aktiv,Schweizer Nationalspielerin; geboren in der Schweiz,https://en.wikipedia.org/wiki/Naemi_Herzig,2026-07-05,"College-Hockey; Hockey East"
Alessia Baechler,Eishockey,Northeastern Huskies,NCAA Division I,Boston,Massachusetts,aktiv,Schweizer Nationalspielerin; geboren in der Schweiz,https://en.wikipedia.org/wiki/Alessia_Baechler,2026-07-05,"College-Hockey; Hockey East"
Monja Wagner,Eishockey,Union Garnet Chargers,NCAA Division I,Schenectady,New York,aktiv,Schweizer Nationalspielerin; geboren in der Schweiz,https://en.wikipedia.org/wiki/Monja_Wagner,2026-07-05,"College-Hockey; ECAC"
Clint Capela,Basketball,Houston Rockets,NBA,Houston,Texas,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Clint_Capela,2026-07-05,"Seit 2025 wieder bei Houston Rockets gefuehrt"
Kyshawn George,Basketball,Washington Wizards,NBA,Washington,District of Columbia,aktiv,Schweizer-kanadischer Spieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Kyshawn_George,2026-07-05,"US-Bundesstaat-Feld als District of Columbia gefuehrt"
Roman Burki,Fussball/Soccer,St. Louis City SC,MLS,St. Louis,Missouri,aktiv,Schweizer Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Roman_B%C3%BCrki,2026-07-05,"Name oft als Roman Buerki geschrieben"
Maren Haile-Selassie,Fussball/Soccer,Chicago Fire FC,MLS,Chicago,Illinois,aktiv,Ehemaliger Schweizer Nachwuchs-Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Maren_Haile-Selassie,2026-07-05,"Schweizer Jugendnationalteams"
Silvan Hefti,Fussball/Soccer,D.C. United,MLS,Washington,District of Columbia,aktiv,Schweizer Nachwuchs-Nationalspieler; geboren in der Schweiz,https://en.wikipedia.org/wiki/Silvan_Hefti,2026-07-05,"Seit Januar 2026 bei D.C. United gefuehrt"
Stefan Frei,Fussball/Soccer,Seattle Sounders FC,MLS,Seattle,Washington,aktiv,Schweizer geboren; frueher Schweiz U15; heute auch US-Staatsbuerger,https://en.wikipedia.org/wiki/Stefan_Frei,2026-07-05,"Aufnehmen mit Hinweis, da Schweizer Bezug historisch/nach Geburt klar ist"
